%"N","Time","avg(Temp)","avg(X)","avg(Y)","avg(Z)","avg(radius)","avg(v (0))","avg(v (1))","avg(v (2))","avg(v (Magnitude))","max(Temp)","max(X)","max(Y)","max(Z)","max(radius)","max(v (0))","max(v (1))","max(v (2))","max(v (Magnitude))","med(Temp)","med(X)","med(Y)","med(Z)","med(radius)","med(v (0))","med(v (1))","med(v (2))","med(v (Magnitude))","min(Temp)","min(X)","min(Y)","min(Z)","min(radius)","min(v (0))","min(v (1))","min(v (2))","min(v (Magnitude))","q1(Temp)","q1(X)","q1(Y)","q1(Z)","q1(radius)","q1(v (0))","q1(v (1))","q1(v (2))","q1(v (Magnitude))","q3(Temp)","q3(X)","q3(Y)","q3(Z)","q3(radius)","q3(v (0))","q3(v (1))","q3(v (2))","q3(v (Magnitude))","std(Temp)","std(X)","std(Y)","std(Z)","std(radius)","std(v (0))","std(v (1))","std(v (2))","std(v (Magnitude))","vtkValidPointMask"
1000,500,406.35,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,656.86,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,368.79,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,312.99,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,326.46,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,449.37,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,96.725,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1000,498.13,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,744.22,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,453.88,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,365.17,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,404.17,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,591.66,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,114.1,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1500,586.39,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,804.22,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,552.4,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,464.25,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,480.53,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,688.37,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,111.68,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2000,666,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,855.14,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,659.74,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,509.74,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,567.29,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,761.34,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.72,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2500,728.92,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,899.81,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,733.81,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,538.83,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,643.75,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,819.59,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,102.37,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3000,773.55,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,935.75,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,784.6,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,562.15,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,693.76,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,863.63,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,102.5,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3500,803.45,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,961.78,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,818.42,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,578.15,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,725.54,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,894.17,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,103.74,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4000,822.79,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,979.29,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,840.12,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,588.64,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,745.63,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,914.23,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,104.91,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4500,834.99,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,990.56,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,853.74,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,595.33,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,758.15,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,926.99,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.75,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,5000,842.56,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,997.63,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,862.11,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,599.5,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,765.87,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,934.95,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,106.31,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,5500,847.2,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1002,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,867.24,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,602.07,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,770.59,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,939.83,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,106.66,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,6000,850.03,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1004.7,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,870.36,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,603.63,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,773.46,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,942.79,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,106.88,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,6500,851.73,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1006.3,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,872.24,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,604.58,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,775.19,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,944.59,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.01,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,7000,852.75,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1007.2,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,873.36,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,605.15,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,776.22,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,945.66,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.09,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,7500,853.36,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1007.8,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,874.04,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,605.49,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,776.84,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,946.3,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.14,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,8000,853.72,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1008.2,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,874.43,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,605.69,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,777.21,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,946.68,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.17,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,8500,853.93,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1008.3,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,874.66,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,605.81,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,777.42,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,946.9,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.18,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,9000,854.06,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1008.5,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,874.8,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,605.88,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,777.55,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,947.03,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.19,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,9500,854.13,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1008.5,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,874.88,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,605.92,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,777.62,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,947.1,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.2,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,10000,854.17,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,1008.6,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,874.92,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,605.94,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,777.66,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,947.14,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.2,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
